2026-01-10 17:02:56,937 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:02:57,065 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:01,357 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:03:01,577 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:03:07,583 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:07,583 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:07,704 | INFO | frame_grabber | Frame grabber запущено
�у камеру: index=0
2026-01-10 17:03:07,808 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:08,135 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:11,485 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:11,485 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:11,678 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:15,646 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:03:15,790 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:03:16,952 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:16,952 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:17,152 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:17,151 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:17,219 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:17,533 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:18,336 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:18,336 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:18,443 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:24,068 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:03:24,488 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:03:25,472 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:25,472 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:25,656 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:03:49,469 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:03:49,469 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:03:49,816 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:04:17,254 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:04:18,848 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:04:18,848 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:04:19,075 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:04:20,448 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:04:21,132 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:04:21,862 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:04:21,863 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:04:22,046 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:04:24,552 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:04:29,631 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:04:29,631 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:04:29,851 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:04:32,622 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:10:15,197 | INFO | scheduler | Планувальник запущено
2026-01-10 17:10:15,213 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 17:10:33,044 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:10:33,044 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:10:33,914 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:10:39,082 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:10:42,311 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:10:42,310 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:10:42,533 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:10:48,582 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:10:51,608 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:10:51,608 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:10:51,824 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:10:55,558 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:10:58,258 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:10:58,258 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:10:58,470 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:11:01,795 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 17:11:50,393 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:11:50,392 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:11:50,819 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:11:58,061 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:11:58,698 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:11:59,381 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768057919.jpg
2026-01-10 17:12:03,639 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 17:12:03,639 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 17:12:03,805 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 17:12:11,188 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768057926.avi
2026-01-10 17:12:25,439 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768057940.avi
2026-01-10 17:12:44,579 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 18:16:58,639 | INFO | scheduler | Планувальник запущено
2026-01-10 18:16:58,639 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 18:17:14,488 | INFO | camera_source | Відкриваю локальну камеру: index=0
